"","ANO","UO","QTDE_RECOMENDACOES","IMPLEMENTADAS","NÃO_IMPLEMENTADAS","CANCELADAS","EM_IMPLEMENTACAO","A_IMPLEMENTAR","PERCENTUAL_NAO_ENCAMINHADAS","PERCENTUAL_CANCELADAS","RECOMENDACOES_ATIVAS","PERCENTUAL_IMPLEMENTADAS","PERCENTUAL_NAO_IMPLEMENTADAS","RC1","RC2","RC3","RC1n","RC2n","RC3n","escore"
"24",2017,"SEFAZ",58,50,2,5,1,0,0.80952380952381,0.0862068965517241,53,1.09433962264151,0.0377358490566038,0.361917782787372,-0.663506211302955,-0.0860923029930413,0.202992746245974,0.116796829640343,0.0407102451758743,13.7560072684951
"25",2017,"SEJUDH",57,46,0,11,0,0,0.676470588235294,0.192982456140351,46,1.23913043478261,0,0.247978788503085,-0.523169750664894,-0.0370540598124058,0.185251282235736,0.159348906660275,0.0468265422771185,14.4557381633069
"26",2018,"SEAF",55,54,1,0,0,0,0.981818181818182,0,55,1,0.0181818181818182,0.382563681631758,-0.938345925914948,-0.120677371788895,0.206207523360758,0.0334613895762801,0.0363966209042376,11.086098376887
"27",2018,"UNEMAT",55,55,0,0,0,0,1,0,55,1,0,0.378880480287571,-0.996121301151989,-0.115610806744598,0.205634011329159,0.0159430468322471,0.0370285484588106,10.4945711540258
"28",2018,"SEJUDH",54,23,0,31,0,0,0.270588235294118,0.574074074074074,23,2.34782608695652,0,-0.069869099478686,0.112186396400616,0.0502544276983462,0.135759122850086,0.351998226602485,0.0577160973353818,18.7344570483856
"29",2017,"MTI",53,35,17,0,1,0,0.679245283018868,0,53,1,0.320754716981132,0.401452095753451,0.0304373730193941,-0.207031210319635,0.209148642171359,0.327210721463721,0.0256261344832345,20.698881473843
"30",2018,"SEPLAN",53,52,0,1,0,0,0.962962962962963,0.0188679245283019,52,1.01923076923077,0,0.326927310856864,-0.931980095541796,-0.109438787191146,0.197544372733852,0.035391602887223,0.0377983538770951,10.7804547526105
"31",2018,"SEC",50,50,0,0,0,0,1,0,50,1,0,0.290661523535209,-0.972221273864395,-0.122302095070903,0.191897419602383,0.0231898863014503,0.0361939772193187,10.095137194228
"32",2019,"SEFAZ",50,32,9,1,8,0,0.784313725490196,0.02,49,1.02040816326531,0.183673469387755,0.300002014793986,-0.34491055899502,-0.164825310532218,0.193351829399015,0.213399712979315,0.0308902672453788,16.3279174246436
"33",2018,"SECITEC",47,1,36,0,10,0,0.234042553191489,0,47,1,0.765957446808511,0.324903777360156,1.45460485832308,-0.333665575086829,0.19722928792087,0.759039230237513,0.00983165760341536,34.0936112223352
"34",2017,"EMPAER",46,38,6,2,0,0,0.791666666666667,0.0434782608695652,44,1.04545454545455,0.136363636363636,0.198165380056132,-0.41883308606023,-0.147003818326642,0.177494826259095,0.19098531652892,0.0331130536677084,14.9089090286016
"35",2019,"METAMAT",46,1,44,0,1,0,0.0434782608695652,0,46,1,0.956521739130435,0.318334777587526,2.05624362242947,-0.385639348890145,0.196206427628119,0.941464944211156,0.00334922631233119,39.9375998294779
"36",2017,"AGER",44,40,0,0,4,0,1,0,44,1,0,0.184798775432375,-0.943541241119282,-0.130331641062468,0.175413509530252,0.0318860936644942,0.0351924917319285,9.61581644247064
"37",2017,"CGE",44,44,0,0,0,0,1,0,44,1,0,0.184798775432375,-0.943541241119282,-0.130331641062468,0.175413509530252,0.0318860936644942,0.0351924917319285,9.61581644247064
"38",2017,"MTSAUDE",43,18,9,0,16,0,0.790697674418605,0,43,1,0.209302325581395,0.181686213352476,-0.282466760776405,-0.187496552513001,0.174928851854738,0.23233359017085,0.0280625955627312,16.0660257252108
"39",2019,"SEDEC",43,20,8,0,15,0,0.813953488372093,0,43,1,0.186046511627907,0.180071632322412,-0.355388369097,-0.181293590981304,0.174677445113645,0.210222686991681,0.0288362602206533,15.3404594946886
"40",2018,"MT-GAS",41,13,0,0,28,0,1,0,41,1,0,0.131867401380958,-0.929201224746726,-0.134346414058251,0.167171554494186,0.0362341973460161,0.0346917489882334,9.37615606659197
